attack,alpha,gas_gain_mean,gas_gain_std,gas_AUC_mean,gas_AUC_std,n_entries
alie,0.1,-2.75,1.6025547785276542,0.48905209135311045,0.11549719595044276,12
alie,0.25,-0.5833333333333334,1.928651593652148,0.8619940896151874,0.07648291661022961,12
alie,0.5,-1.9166666666666667,1.3113721705515067,0.7388734112769039,0.07786627829725434,12
alie,1.0,-3.4166666666666665,1.164500152881315,0.7008982640936491,0.10960393702381198,12
minmax,0.1,-2.3333333333333335,3.5248038845079632,0.6140744144880174,0.1027614783127006,12
minmax,0.25,2.0833333333333335,2.108783937953269,0.9049982343692838,0.06956073219106974,12
minmax,0.5,7.416666666666667,1.3789543689024493,1.0,0.0,12
minmax,1.0,6.166666666666667,0.937436866561092,1.0,0.0,12
