attack,alpha,component,n_runs,err_all_mean,err_all_std,err_all_min,err_all_max,err_static_mean,err_static_std,err_static_min,err_static_max,err_dynamic_mean,err_dynamic_std,err_dynamic_min,err_dynamic_max,err_accepted_mean,err_accepted_std,err_accepted_min,err_accepted_max,contamination_mean,contamination_std,contamination_min,contamination_max,n_confound_mean,n_confound_std,n_confound_min,n_confound_max,best_set_majority,best_set_agreement
alie,0.1,DCV,3,0.029246214546985578,0.0002035837817304909,0.029086867389329297,0.029475563503527747,0.041520256369775764,0.004397281575171677,0.036552763674556475,0.044914550625818325,0.04802585349915572,0.004769830153939064,0.04259923113118139,0.05155470557971209,0.06867026380247539,0.004346374322083779,0.06515268846855006,0.07352920752604059,0.029246214546985578,0.00020358378173049858,0.029086867389329297,0.029475563503527757,4.6721885619642005e-17,6.985000018454544e-18,4.0245584642661923e-17,5.412337245047638e-17,all,1.0
alie,0.1,Dcluster,3,0.04264019265904923,0.0031154113870123703,0.039826304199441186,0.04598809333169009,0.062897916052704,0.004638912088505559,0.058607644261087756,0.06782058346596237,0.06930505813087183,0.005619152264326449,0.06384170091846883,0.07506801833846706,0.0996272298220852,0.005459726732949026,0.09423563435934831,0.10515262819190503,0.04264019265904923,0.0031154113870123694,0.039826304199441186,0.04598809333169009,5.921189464667501e-17,1.1802920513331016e-17,4.5796699765787705e-17,6.800116025829084e-17,all,1.0
alie,0.1,Dsim,3,0.010234715069041703,0.00035623717761623864,0.00995200432319602,0.010634838489361276,0.016430635873642522,0.0018761316151882754,0.014811318218104094,0.0184865802165948,0.04484822670298144,0.009954885500297076,0.036744144987245195,0.05596019957061617,0.0723075983387592,0.01315343715264849,0.0643028980369386,0.08748834232497511,0.0102347150690417,0.0003562371776162434,0.009952004323196015,0.010634838489361278,3.5272710678195076e-17,1.1450927053316001e-17,2.393918396847994e-17,4.683753385137379e-17,all,1.0
alie,0.25,DCV,3,0.07641613196533205,0.0035251546844496827,0.07312201950968275,0.08013401722918301,0.11717952025670886,0.014220167993408835,0.10214834119646246,0.13041882534622848,0.13831332987642198,0.007512287000294931,0.12964536418157602,0.14293754368279085,0.17454684858727076,0.016326425206946625,0.1631173670307337,0.19324532432700575,0.07641613196533203,0.003525154684449689,0.07312201950968274,0.08013401722918301,5.4354668913939954e-17,1.630763092811064e-17,3.8163916471489756e-17,7.077671781985372e-17,all,1.0
alie,0.25,Dcluster,3,0.10116135562466026,0.007667686222235442,0.09328595493015336,0.10860290527352179,0.1474337144614586,0.021657235019466516,0.12533563237455522,0.16862138976938432,0.17557993053956747,0.013195131562127288,0.16044418530271382,0.18466220371123124,0.21738232000171429,0.02262213240140303,0.20337666247297032,0.24348075146087603,0.10116135562466026,0.00766768622223545,0.09328595493015335,0.10860290527352179,6.545689916019151e-17,1.2223750032295452e-17,5.134781488891349e-17,7.28583859910259e-17,all,1.0
alie,0.25,Dsim,3,0.015341401508349622,0.0005713385309561743,0.014683373939006192,0.01571137265430283,0.01153975059833423,0.0003241749436525057,0.01126069038106956,0.011895344217183473,0.010868155071363858,0.0002669886415996694,0.010574005757886949,0.011095167646382898,0.008881027475668588,0.00047544462952737787,0.008333732389996632,0.009192073716956801,0.01534140150834963,0.0005713385309561661,0.014683373939006211,0.015711372654302842,4.654841327204432e-17,5.0555608297832755e-18,4.2500725161431774e-17,5.2215176626901896e-17,accepted,1.0
alie,0.5,DCV,3,0.029083091442010944,0.001844721652558154,0.027658893508744436,0.03116695684670005,0.0354717332526207,0.007912676158075138,0.029390875041177343,0.04441790672648194,0.02991824408982974,0.0047076153206551605,0.02461217785136947,0.033593963774959344,0.058394100960150554,0.005665812556666806,0.05188311434740846,0.062203419079800246,0.029083091442010947,0.0018447216525581483,0.027658893508744453,0.03116695684670005,2.983724378680108e-17,1.4338515319353585e-17,1.457167719820518e-17,4.302114220422482e-17,static,0.3333
alie,0.5,Dcluster,3,0.03632304420786991,0.0013890375791016064,0.03483591158491165,0.03758694965631302,0.046572810885304405,0.009240577781745552,0.04072609678644866,0.05722599512718429,0.03897880005553778,0.002367285490560977,0.03754203917474773,0.04171108943687181,0.05824105107599168,0.0049453104445512505,0.05289583846472055,0.06265366370294298,0.036323044207869894,0.001389037579101611,0.03483591158491163,0.037586949656313005,3.307539427529112e-17,9.161792769042369e-18,2.4980018054066023e-17,4.302114220422482e-17,all,1.0
alie,0.5,Dsim,3,0.01557639031894982,0.0013099505755223304,0.014080066049973788,0.016516205191133625,0.01000235263885838,0.0005670007560565743,0.009358365702501703,0.01042657368022606,0.00787083987057832,0.0006010054588811239,0.007303386510103348,0.008500550761971686,0.010268368016475167,0.0010122739756885874,0.009416912776873784,0.011387613179725836,0.015576390318949813,0.0013099505755223245,0.014080066049973788,0.016516205191133615,4.0766001685454967e-17,9.673708444604997e-18,2.975050761300224e-17,4.787836793695988e-17,dynamic,1.0
alie,1.0,DCV,3,0.025947776572273384,0.0018734750709539188,0.02381406503123198,0.02732344480401583,0.03208054015966854,0.004798096154704745,0.0286919297575091,0.037570858580769376,0.03158592186213625,0.004647064771838396,0.02884059005562689,0.036951403306808725,0.025854030005606144,0.002522204838045052,0.023251876746849687,0.02828785376409803,0.02594777657227339,0.001873475070953923,0.023814065031231985,0.027323444804015835,2.960594732333751e-17,6.296193931413691e-18,2.4980018054066023e-17,3.677613769070831e-17,accepted,0.6667
alie,1.0,Dcluster,3,0.032132962261768844,0.0029538604661551544,0.02938825593254054,0.035258949375710766,0.040665431188843686,0.00041962409384151437,0.040193241807039204,0.0409956655149462,0.039274599638721944,0.00098370314295131,0.03814115739841094,0.03990576755368806,0.02896644310524965,0.0036229349784745245,0.025274097146622827,0.03251572907248058,0.03213296226176885,0.0029538604661551553,0.029388255932540554,0.03525894937571078,3.515706244646329e-17,9.446414880257056e-18,2.7755575615628914e-17,4.5796699765787705e-17,accepted,1.0
alie,1.0,Dsim,3,0.008383492157743743,0.0007221468857941761,0.007678308512407116,0.009121483960205175,0.004932568429240635,0.0004581624532039462,0.004472988054408271,0.005389299672500765,0.0063876090942170845,0.0005549730730343608,0.006034527985789075,0.007027286140133739,0.008507910670459024,0.0008060750131282308,0.007697351536474048,0.009309425451087077,0.008383492157743736,0.0007221468857941801,0.0076783085124071,0.009121483960205169,4.2500725161431774e-17,1.3631659729394188e-17,2.7755575615628914e-17,5.4643789493269423e-17,static,1.0
gaussian_noise,0.1,DCV,3,0.23641907882193783,0.009894709047834837,0.22588160129225146,0.24551227083199406,0.036494992737226166,0.002978374225841628,0.03329007287301306,0.039177767219423065,0.03625565045540852,0.0027291652498147635,0.03314050727070174,0.038225841927163835,0.033281891662248334,0.0004860945715711491,0.03273410719465736,0.03366178892097421,0.23641907882193788,0.009894709047834826,0.2258816012922515,0.24551227083199406,6.56881956236551e-17,7.643289539180508e-18,5.689893001203927e-17,7.077671781985372e-17,accepted,1.0
gaussian_noise,0.1,Dcluster,3,0.46805181791978523,0.018981729941012385,0.44734516101746796,0.4846286374732765,0.055659491869442995,0.005545448796272714,0.05072846409168121,0.06166276297770579,0.05176899203823499,0.010503614609721252,0.04011969027729558,0.06051703927080617,0.05345879144593296,0.003788519288810311,0.04916228814770289,0.05631973023391847,0.46805181791978523,0.018981729941012385,0.44734516101746796,0.4846286374732765,5.967448757360216e-17,6.049187461416407e-18,5.551115123125783e-17,6.661338147750939e-17,static,0.3333
gaussian_noise,0.1,Dsim,3,0.16878860320116038,0.0030048697035016097,0.16538062795050273,0.1710569669893457,0.017163763174580852,0.003494566993505363,0.013831784289852739,0.020800903551270237,0.031273848177814,0.004266899173808898,0.026769676080804584,0.0352553138404701,0.053352445705396906,0.006025558853991772,0.04743188620758177,0.05947778326223498,0.1687886032011604,0.0030048697035015832,0.1653806279505028,0.1710569669893457,3.215020842143682e-17,4.0211673460266706e-18,2.8449465006019634e-17,3.642919299551295e-17,static,1.0
gaussian_noise,0.25,DCV,3,0.350935756667323,0.027377775505180717,0.3228508982928387,0.3775469224329147,0.10330436894562937,0.010591546772153905,0.09269886472836926,0.11388190287439022,0.14985639065502016,0.002721141781307865,0.14675062802028266,0.1518219358022561,0.21240216712743884,0.014315421866776921,0.19977144099266983,0.22795224032590716,0.350935756667323,0.027377775505180717,0.3228508982928387,0.3775469224329147,4.718447854656915e-17,5.5511151231257815e-18,4.163336342344337e-17,5.2735593669694933e-17,static,1.0
gaussian_noise,0.25,Dcluster,3,0.42195436707628914,0.025719877004917638,0.39243047639424955,0.4395032430576947,0.13412859102863772,0.013957042249385201,0.12206364497223372,0.14941454101651114,0.19459415643607395,0.0033071004296340105,0.1914965615518324,0.19807701507203682,0.2731038462315393,0.01909741435482531,0.2573337837587382,0.29433766326451516,0.42195436707628925,0.025719877004917627,0.3924304763942496,0.4395032430576948,6.730727086790012e-17,7.24441791896024e-18,6.245004513516506e-17,7.563394355258879e-17,static,1.0
