alpha,component,n_attacks,mean_anchor,std_anchor,cv_pct,warn
0.1,DCV,7,0.5591234235578282,0.006234623462422378,1.1150710558234291,False
0.1,Dsim,7,0.12112297934205282,0.004034778545041325,3.3311420896005695,False
0.1,Dcluster,7,0.47616036295944875,0.004209027917636232,0.8839517618552147,False
0.25,DCV,7,0.5578844651320853,0.007050231203179806,1.2637439548546285,False
0.25,Dsim,7,0.05163610123385091,0.001199182239670309,2.3223717728792526,False
0.25,Dcluster,7,0.6299218654132777,0.007984883069158535,1.2675989686307891,False
0.5,DCV,7,0.3299899722337379,0.008270457070588768,2.506275270913582,False
0.5,Dsim,7,0.04391958080048185,0.0016295474078209897,3.7102981816327167,False
0.5,Dcluster,7,0.36640942916173824,0.009974740083743602,2.722293502807378,False
1.0,DCV,7,0.29194444853379553,0.005078541375233605,1.7395574400332237,False
1.0,Dsim,7,0.03416301087335157,0.0007880487663414844,2.306731011686654,False
1.0,Dcluster,7,0.291066097816899,0.005176205459317591,1.7783608253042877,False
