attack,component,n_runs,slope_mean_per_round_mean,slope_mean_per_round_std,slope_mean_per_round_min,slope_mean_per_round_max,std_spread_mean,std_spread_std,std_spread_min,std_spread_max,drift_flag_majority,drift_flag_agreement
alie,DCV,3,-0.0007170888256610901,0.00010114213509092365,-0.0008248934140442517,-0.0006242846094938091,0.028892348020558456,0.007029471579022114,0.02215667713513341,0.036182749456687494,False,1.0
alie,Dcluster,3,-0.0007857923909790518,0.00014245654386916567,-0.0009490863254572692,-0.0006869644716966121,0.04923709855274041,0.005901297426711606,0.04475511708391191,0.05592322065791542,False,1.0
alie,Dsim,3,0.0003606433768513125,9.765234324696164e-05,0.00025711461728632055,0.0004511030677040529,0.008923658901088309,0.0009772512028931222,0.008269437652203481,0.010047020636479232,False,1.0
gaussian_noise,DCV,3,-0.00013530333435525993,0.0003396450703519678,-0.000490901003764095,0.00018574876190939848,0.02666850168279693,0.0029597703786806238,0.02417169885320836,0.029937972719631518,False,1.0
gaussian_noise,Dcluster,3,-0.00019090964158421938,0.0005449531374991346,-0.0007387716611295853,0.000351087270020281,0.05200003133666125,0.007011051447707143,0.04441801064863373,0.05824859414545343,False,1.0
gaussian_noise,Dsim,3,0.00019101020439202298,0.00011916159776057795,8.077857298120635e-05,0.00031744380860938793,0.00808682704035922,0.0006417465311075777,0.007467049102547834,0.00874849021389099,False,1.0
label_flip,DCV,3,-0.0005978297547950092,0.00014620807509824706,-0.0007232676933396935,-0.0004372547999919922,0.028700579485179595,0.0059883449666555694,0.02306413743644784,0.03498768595203785,False,1.0
label_flip,Dcluster,3,-0.0006904323861940349,0.00023884598428092568,-0.0008299419673448032,-0.00041464310388855934,0.053623851213112333,0.006893219102351653,0.048647537364712126,0.06149194261225644,False,1.0
label_flip,Dsim,3,0.0001413065923098584,4.286309188420928e-05,9.229538112504368e-05,0.00017178467892126344,0.008577588261058621,0.0011016524918835804,0.007394363154759773,0.00957370294490869,False,1.0
minmax,DCV,3,0.0003908351188442857,0.00045313987510256113,-0.00010018384001526939,0.0007929045961608913,0.051301538783530325,0.011982912382462291,0.04032411254326866,0.06408492626380083,False,1.0
minmax,Dcluster,3,0.0005165603864600492,0.0006482081694620543,-0.00014104939127215413,0.0011549389598191951,0.060726219575024366,0.020023012590877583,0.039337786055759986,0.0790245284506457,False,0.6667
minmax,Dsim,3,-0.0010160292843421107,0.0002127748590711494,-0.0012490700381501494,-0.0008321134628503201,0.024921566639734372,0.00619271214791772,0.02107637320718244,0.032065326956843235,False,0.6667
on_off,DCV,3,-0.0004474916432235367,0.0003686304714012318,-0.0008335207378279471,-9.915620861164364e-05,0.02736437349168239,0.0032736455267385963,0.023928603514345417,0.03044731105511056,False,1.0
on_off,Dcluster,3,-0.0006145310789258494,0.0006337983049871221,-0.0011463490833571051,8.678290606629276e-05,0.04806721693337134,0.0039061961620043824,0.04378795599800502,0.05144147805082131,False,0.6667
on_off,Dsim,3,0.00023448114740582345,9.24374578231166e-05,0.00014792385273404296,0.00033184823771364053,0.008379476279168978,0.0014420145766877244,0.0073817025341932,0.010032807478923295,False,1.0
sign_flip,DCV,3,-0.001084818772783037,0.0005417922194774695,-0.0015668921617439334,-0.0004984666502833071,0.030936195578156175,0.00034428204744828695,0.030609713201779527,0.03129587268880212,True,0.6667
sign_flip,Dcluster,3,-0.0014088020159071094,0.0006821156023267186,-0.002121049655921788,-0.000761458056816494,0.05540013223589125,0.00155747755135307,0.05403633358975889,0.05709730308055863,True,0.6667
sign_flip,Dsim,3,0.00026506851318370634,5.930129127576479e-05,0.0001996517750128422,0.0003153020334036238,0.00837718987380852,0.0011540793453711738,0.007047103862415701,0.00911331408050218,False,1.0
slow_poison,DCV,3,-0.000516181660365121,0.0007527488394437167,-0.001382527671504702,-2.2063950179054783e-05,0.026162912839592118,0.002820918790933301,0.022946629836353555,0.028217401243687094,False,0.6667
slow_poison,Dcluster,3,-0.00040721788708761764,0.000859729432586406,-0.0013978318640559529,0.000144193100644176,0.049060683994001486,0.0009544722191630402,0.04807462121016229,0.049980068944484264,False,0.6667
slow_poison,Dsim,3,0.00022301657140355637,0.00015686079619264733,0.00010580613046030037,0.00040121106306038255,0.009285178632374436,0.0012674899757356578,0.008290697966282134,0.010712358206536283,False,1.0
