attack,alpha,n_runs,pct_mom_cleaner_mean,pct_mom_cleaner_std,pct_mom_cleaner_min,pct_mom_cleaner_max,avg_cos_mom_mean,avg_cos_mom_std,avg_cos_mom_min,avg_cos_mom_max,avg_cos_med_mean,avg_cos_med_std,avg_cos_med_min,avg_cos_med_max,slope_cos_mom_mean,slope_cos_mom_std,slope_cos_mom_min,slope_cos_mom_max,drift_flag_majority,drift_flag_agreement
alie,0.1,3,0.14166666666666664,0.03818813079129866,0.1,0.175,0.9900003356830226,0.0020468524384135603,0.9885091748644778,0.9923339760611146,0.9932881101741283,0.0012070034055424567,0.9920328302022241,0.9944402130902225,-0.0002260370114765428,0.00013869795007327203,-0.00033375266989742837,-6.953842986850609e-05,True,1.0
alie,0.25,3,0.05833333333333333,0.028867513459481284,0.025,0.075,0.994700245378306,0.0003004272655165193,0.9943535243630233,0.9948833498603236,0.9970755714782914,0.0002805028020627973,0.996751982828252,0.9972495973665513,-8.334942006284771e-05,1.44547106593544e-05,-9.657048139490379e-05,-6.791611697619347e-05,True,1.0
alie,0.5,3,0.041666666666666664,0.014433756729740645,0.025,0.05,0.9943066273326636,0.00038195325627008033,0.9939058684872277,0.9946664826182229,0.9968951617402664,3.690739883523513e-05,0.9968582241096247,0.996932038832821,-7.863101319561848e-05,4.716582304094542e-05,-0.00013307649895540638,-5.023282426620644e-05,True,1.0
alie,1.0,3,0.024999999999999998,0.04330127018922193,0.0,0.075,0.9966599334232734,0.00045803627255168206,0.996266007027933,0.9971625332078627,0.9980679676414511,0.0001983014151791185,0.9979014229312966,0.9982873303925954,-1.3922626885172826e-05,1.0997801842663043e-05,-2.3733111737010393e-05,-2.034015959784619e-06,True,1.0
minmax,0.1,3,0.016666666666666666,0.014433756729740645,0.0,0.025,0.21690698180110993,0.10446223548035576,0.09641275244302602,0.2819722040032775,0.9891171175746419,0.0030824731108245436,0.9860539265563484,0.9922185175518804,-0.021577895676930664,0.0065238168392760705,-0.027368796887102857,-0.014510001718970655,True,1.0
minmax,0.25,3,0.008333333333333333,0.014433756729740647,0.0,0.025,0.7083153138499534,0.2935074143178727,0.3694535769181971,0.8828593703876976,0.9945478090418653,0.001971062229260024,0.9923287633127009,0.9960954681301534,-0.012203730299045179,0.013772016204776362,-0.027732442923234457,-0.001470747449116734,True,1.0
minmax,0.5,3,0.03333333333333333,0.038188130791298666,0.0,0.075,0.9955185619569676,0.0003213309288112119,0.9952524166873055,0.9958755287350629,0.9978986250088417,0.0002013183677978837,0.9976662843653298,0.9980213110225901,1.6892142068144097e-05,2.9654484148837896e-06,1.5155902708021954e-05,2.031623298525162e-05,False,1.0
minmax,1.0,3,0.016666666666666666,0.02886751345948129,0.0,0.05,0.9856074259798829,0.011996630759022414,0.9719400426030788,0.9943958870388029,0.997187680833583,0.0009771110339472017,0.996145708345273,0.9980834549815786,-0.0003733854973865735,0.00016233680447576743,-0.0005531110791696741,-0.0002374003200980894,True,1.0
