config,attack,alpha,avg_DR_mean,avg_DR_std,avg_DR_min,avg_DR_max,avg_DR_n,avg_FPR_mean,avg_FPR_std,avg_FPR_min,avg_FPR_max,avg_FPR_n,final_acc_mean,final_acc_std,final_acc_min,final_acc_max,final_acc_n,avg_ASR_mean,avg_ASR_std,avg_ASR_min,avg_ASR_max,avg_ASR_n,warmup_ok_all
C0,sign_flip,0.1,1.0,0.0,1.0,1.0,3,0.29688632478632476,0.03630633248696973,0.2655974358974359,0.3366948717948718,3,0.6121666666666666,0.03917056718166501,0.5695,0.6465,3,,,,,0,True
C0,sign_flip,0.25,1.0,0.0,1.0,1.0,3,0.0814991452991453,0.011767542846764964,0.06843076923076923,0.09125641025641025,3,0.7185,0.015620499351813323,0.7085,0.7365,3,,,,,0,True
C0,sign_flip,0.5,1.0,0.0,1.0,1.0,3,0.018709401709401708,0.005679515733755467,0.015105128205128203,0.025256410256410258,3,0.7611666666666667,0.00225462487641142,0.759,0.7635,3,,,,,0,True
C0,sign_flip,1.0,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,3,0.7828333333333334,0.0053463383107817935,0.777,0.7875,3,,,,,0,True
C0,slow_poison,0.1,0.8053811965811967,0.015737272250670946,0.7948717948717948,0.8234743589743589,3,0.404159829059829,0.033286131701720095,0.3724205128205128,0.4388025641025641,3,0.5948333333333333,0.010054020754570434,0.5865,0.606,3,,,,,0,True
C0,slow_poison,0.25,0.7901136752136754,0.004959609598783242,0.7870051282051282,0.7958333333333334,3,0.10625299145299145,0.006442866965561169,0.1007923076923077,0.11335897435897437,3,0.7296666666666667,0.01233220715579061,0.7155,0.738,3,,,,,0,True
C0,slow_poison,0.5,0.8059914529914529,0.02099730021362826,0.7923051282051282,0.8301666666666667,3,0.012511111111111112,0.005515012285429421,0.0064487179487179485,0.017230769230769234,3,0.7606666666666667,0.013732564703409675,0.7495,0.776,3,,,,,0,True
C0,slow_poison,1.0,0.7459504273504273,0.0199355531891019,0.7230564102564103,0.7594769230769232,3,0.0015316239316239316,0.0016704519801844424,0.0,0.0033128205128205124,3,0.7839999999999999,0.009962429422585663,0.7725,0.79,3,,,,,0,True
C1,alie,0.1,0.3203641025641026,0.03715062442898519,0.2777307692307692,0.3458,3,0.3672290598290598,0.021327216568438792,0.34876153846153846,0.3905717948717949,3,0.5258333333333334,0.06025017289048497,0.4655,0.586,3,,,,,0,True
C1,alie,0.25,0.1447430301180301,0.023144012407923586,0.12088293650793651,0.1670974358974359,3,0.09408587403022388,0.0035473715569465914,0.09142307692307693,0.09811282051282051,3,0.48783333333333334,0.3320727831866582,0.1045,0.6875,3,,,,,0,True
C1,alie,0.5,0.19663504273504273,0.031882302693990366,0.17205128205128206,0.23265897435897437,3,0.05358461538461539,0.013697169260813307,0.04422051282051282,0.06930512820512821,3,0.7145,0.027834331319433615,0.688,0.7435,3,,,,,0,True
