attack,alpha,round,n_runs,gas_AUC_mean,gas_AUC_std,gas_AUC_min,gas_AUC_max,gas_gain_mean,gas_gain_std,gas_gain_min,gas_gain_max,L1L2_caught_mean,L1L2_caught_std,L1L2_caught_min,L1L2_caught_max,gas_caught_topk_mean,gas_caught_topk_std,gas_caught_topk_min,gas_caught_topk_max,n_attacker_mean,n_attacker_std,n_attacker_min,n_attacker_max,DR_probe_mean,DR_probe_std,DR_probe_min,DR_probe_max
on_off,1.0,15,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,6.3333,0.5774,6.0000,7.0000,6.3333,0.5774,6.0000,7.0000,6.3333,0.5774,6.0000,7.0000,1.0000,0.0000,1.0000,1.0000
on_off,1.0,25,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,6.3333,1.5275,5.0000,8.0000,6.3333,1.5275,5.0000,8.0000,6.3333,1.5275,5.0000,8.0000,1.0000,0.0000,1.0000,1.0000
on_off,1.0,35,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,7.0000,7.0000,7.0000,0.0000,7.0000,7.0000,7.0000,0.0000,7.0000,7.0000,1.0000,0.0000,1.0000,1.0000
on_off,1.0,45,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,6.6667,0.5774,6.0000,7.0000,6.6667,0.5774,6.0000,7.0000,6.6667,0.5774,6.0000,7.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,0.5,15,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.6667,2.0817,6.0000,10.0000,7.6667,2.0817,6.0000,10.0000,7.6667,2.0817,6.0000,10.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,0.5,25,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,6.3333,2.3094,5.0000,9.0000,6.3333,2.3094,5.0000,9.0000,6.3333,2.3094,5.0000,9.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,0.5,35,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.6667,1.5275,6.0000,9.0000,7.6667,1.5275,6.0000,9.0000,7.6667,1.5275,6.0000,9.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,0.5,45,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.6667,2.0817,6.0000,10.0000,7.6667,2.0817,6.0000,10.0000,7.6667,2.0817,6.0000,10.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,1.0,15,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,8.0000,1.0000,7.0000,9.0000,8.0000,1.0000,7.0000,9.0000,8.0000,1.0000,7.0000,9.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,1.0,25,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,8.6667,1.5275,7.0000,10.0000,8.6667,1.5275,7.0000,10.0000,8.6667,1.5275,7.0000,10.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,1.0,35,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.0000,1.0000,6.0000,8.0000,7.0000,1.0000,6.0000,8.0000,7.0000,1.0000,6.0000,8.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,1.0,45,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,8.0000,3.0000,5.0000,11.0000,8.0000,3.0000,5.0000,11.0000,8.0000,3.0000,5.0000,11.0000,1.0000,0.0000,1.0000,1.0000
slow_poison,0.5,15,3,0.8818,0.0588,0.8203,0.9375,-1.3333,2.8868,-3.0000,2.0000,5.0000,1.7321,4.0000,7.0000,3.6667,2.5166,1.0000,6.0000,6.6667,2.3094,4.0000,8.0000,0.7917,0.2602,0.5000,1.0000
slow_poison,0.5,25,3,0.9296,0.0515,0.8704,0.9630,-1.3333,1.1547,-2.0000,0.0000,7.3333,2.8868,4.0000,9.0000,6.0000,1.7321,4.0000,7.0000,8.0000,1.7321,6.0000,9.0000,0.8889,0.1924,0.6667,1.0000
slow_poison,0.5,35,3,0.8981,0.0337,0.8593,0.9185,-0.6667,0.5774,-1.0000,0.0000,6.3333,1.1547,5.0000,7.0000,5.6667,1.5275,4.0000,7.0000,8.0000,1.7321,6.0000,9.0000,0.7963,0.0320,0.7778,0.8333
slow_poison,0.5,45,3,0.8637,0.0526,0.8333,0.9244,0.0000,2.0000,-2.0000,2.0000,6.0000,1.7321,4.0000,7.0000,6.0000,2.6458,4.0000,9.0000,8.3333,3.2146,6.0000,12.0000,0.7500,0.2205,0.5833,1.0000
slow_poison,1.0,15,3,0.8788,0.0594,0.8444,0.9474,1.0000,1.0000,0.0000,2.0000,4.6667,1.5275,3.0000,6.0000,5.6667,2.3094,3.0000,7.0000,7.6667,2.3094,5.0000,9.0000,0.6074,0.0559,0.5556,0.6667
slow_poison,1.0,25,3,0.8806,0.0721,0.8047,0.9481,0.6667,0.5774,0.0000,1.0000,5.0000,1.0000,4.0000,6.0000,5.6667,1.1547,5.0000,7.0000,7.6667,1.5275,6.0000,9.0000,0.6528,0.0241,0.6250,0.6667
slow_poison,1.0,35,3,0.9031,0.0765,0.8151,0.9531,0.6667,0.5774,0.0000,1.0000,5.0000,2.0000,3.0000,7.0000,5.6667,1.5275,4.0000,7.0000,7.3333,0.5774,7.0000,8.0000,0.6726,0.2261,0.4286,0.8750
slow_poison,1.0,45,3,0.9509,0.0376,0.9076,0.9748,0.3333,1.5275,-1.0000,2.0000,5.6667,0.5774,5.0000,6.0000,6.0000,2.0000,4.0000,8.0000,7.6667,1.1547,7.0000,9.0000,0.7460,0.0991,0.6667,0.8571
