attack,alpha,round,n_runs,gas_AUC_mean,gas_AUC_std,gas_AUC_min,gas_AUC_max,gas_gain_mean,gas_gain_std,gas_gain_min,gas_gain_max,L1L2_caught_mean,L1L2_caught_std,L1L2_caught_min,L1L2_caught_max,gas_caught_topk_mean,gas_caught_topk_std,gas_caught_topk_min,gas_caught_topk_max,n_attacker_mean,n_attacker_std,n_attacker_min,n_attacker_max,DR_probe_mean,DR_probe_std,DR_probe_min,DR_probe_max
label_flip,0.25,35,3,0.8453,0.0387,0.8151,0.8889,3.0000,1.0000,2.0000,4.0000,2.0000,1.0000,1.0000,3.0000,5.0000,1.7321,4.0000,7.0000,7.6667,1.1547,7.0000,9.0000,0.2540,0.0991,0.1429,0.3333
label_flip,0.25,45,3,0.7986,0.0385,0.7556,0.8296,4.0000,3.0000,1.0000,7.0000,1.0000,1.0000,0.0000,2.0000,5.0000,2.6458,2.0000,7.0000,7.6667,2.3094,5.0000,9.0000,0.1407,0.1224,0.0000,0.2222
minmax,0.1,15,3,0.7781,0.0248,0.7500,0.7969,0.3333,1.1547,-1.0000,1.0000,2.6667,1.1547,2.0000,4.0000,3.0000,2.0000,1.0000,5.0000,6.0000,2.0000,4.0000,8.0000,0.4444,0.0962,0.3333,0.5000
minmax,0.1,25,3,0.5645,0.0755,0.4790,0.6218,1.0000,2.6458,-2.0000,3.0000,1.6667,2.0817,0.0000,4.0000,2.6667,0.5774,2.0000,3.0000,6.6667,0.5774,6.0000,7.0000,0.2460,0.2938,0.0000,0.5714
minmax,0.1,35,3,0.4949,0.1689,0.3359,0.6723,0.3333,2.8868,-3.0000,2.0000,2.0000,2.6458,0.0000,5.0000,2.3333,0.5774,2.0000,3.0000,7.6667,0.5774,7.0000,8.0000,0.2560,0.3275,0.0000,0.6250
minmax,0.1,45,3,0.5123,0.0577,0.4766,0.5789,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,2.0000,2.0000,1.0000,1.0000,3.0000,7.3333,2.0817,5.0000,9.0000,0.1157,0.1114,0.0000,0.2222
minmax,0.25,15,3,0.9568,0.0140,0.9412,0.9683,0.3333,1.5275,-1.0000,2.0000,4.3333,2.5166,2.0000,7.0000,4.6667,2.3094,2.0000,6.0000,6.0000,2.6458,3.0000,8.0000,0.7044,0.1553,0.5714,0.8750
minmax,0.25,25,3,0.7967,0.0701,0.7266,0.8667,-1.3333,1.5275,-3.0000,0.0000,6.0000,1.0000,5.0000,7.0000,4.6667,1.1547,4.0000,6.0000,8.3333,0.5774,8.0000,9.0000,0.7222,0.1339,0.6250,0.8750
minmax,0.25,35,3,0.7301,0.2030,0.5407,0.9444,2.3333,1.1547,1.0000,3.0000,0.6667,1.1547,0.0000,2.0000,3.0000,2.0000,1.0000,5.0000,6.6667,2.0817,5.0000,9.0000,0.1111,0.1924,0.0000,0.3333
minmax,0.25,45,3,0.7298,0.1055,0.6250,0.8359,1.6667,3.0551,-1.0000,5.0000,2.6667,4.6188,0.0000,8.0000,4.3333,3.0551,1.0000,7.0000,7.3333,3.0551,4.0000,10.0000,0.2667,0.4619,0.0000,0.8000
on_off,0.1,15,3,0.7847,0.0462,0.7315,0.8151,-2.6667,0.5774,-3.0000,-2.0000,7.3333,1.5275,6.0000,9.0000,4.6667,1.5275,3.0000,6.0000,7.3333,1.5275,6.0000,9.0000,1.0000,0.0000,1.0000,1.0000
on_off,0.1,25,3,0.7210,0.0441,0.6815,0.7685,-3.3333,0.5774,-4.0000,-3.0000,7.0000,1.7321,6.0000,9.0000,3.6667,1.1547,3.0000,5.0000,7.0000,1.7321,6.0000,9.0000,1.0000,0.0000,1.0000,1.0000
on_off,0.1,35,3,0.8355,0.0631,0.7852,0.9062,-2.3333,0.5774,-3.0000,-2.0000,8.0000,1.0000,7.0000,9.0000,5.6667,0.5774,5.0000,6.0000,8.0000,1.0000,7.0000,9.0000,1.0000,0.0000,1.0000,1.0000
on_off,0.1,45,3,0.7614,0.0662,0.6875,0.8151,-3.3333,1.1547,-4.0000,-2.0000,7.3333,0.5774,7.0000,8.0000,4.0000,1.0000,3.0000,5.0000,7.3333,0.5774,7.0000,8.0000,1.0000,0.0000,1.0000,1.0000
on_off,0.25,15,3,0.9860,0.0061,0.9789,0.9895,-1.0000,0.0000,-1.0000,-1.0000,5.0000,0.0000,5.0000,5.0000,4.0000,0.0000,4.0000,4.0000,5.0000,0.0000,5.0000,5.0000,1.0000,0.0000,1.0000,1.0000
on_off,0.25,25,3,0.9708,0.0086,0.9609,0.9766,-1.0000,0.0000,-1.0000,-1.0000,7.6667,0.5774,7.0000,8.0000,6.6667,0.5774,6.0000,7.0000,7.6667,0.5774,7.0000,8.0000,1.0000,0.0000,1.0000,1.0000
on_off,0.25,35,3,0.9888,0.0194,0.9664,1.0000,-0.3333,0.5774,-1.0000,0.0000,7.0000,0.0000,7.0000,7.0000,6.6667,0.5774,6.0000,7.0000,7.0000,0.0000,7.0000,7.0000,1.0000,0.0000,1.0000,1.0000
on_off,0.25,45,3,0.9938,0.0053,0.9907,1.0000,-0.6667,0.5774,-1.0000,0.0000,6.0000,0.0000,6.0000,6.0000,5.3333,0.5774,5.0000,6.0000,6.0000,0.0000,6.0000,6.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,0.1,15,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,6.3333,0.5774,6.0000,7.0000,6.3333,0.5774,6.0000,7.0000,6.3333,0.5774,6.0000,7.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,0.1,25,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,6.0000,1.7321,5.0000,8.0000,6.0000,1.7321,5.0000,8.0000,6.0000,1.7321,5.0000,8.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,0.1,35,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.3333,1.5275,6.0000,9.0000,7.3333,1.5275,6.0000,9.0000,7.3333,1.5275,6.0000,9.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,0.1,45,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.0000,1.0000,6.0000,8.0000,7.0000,1.0000,6.0000,8.0000,7.0000,1.0000,6.0000,8.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,0.25,15,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.3333,1.5275,6.0000,9.0000,7.3333,1.5275,6.0000,9.0000,7.3333,1.5275,6.0000,9.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,0.25,25,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.6667,1.5275,6.0000,9.0000,7.6667,1.5275,6.0000,9.0000,7.6667,1.5275,6.0000,9.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,0.25,35,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.0000,2.6458,4.0000,9.0000,7.0000,2.6458,4.0000,9.0000,7.0000,2.6458,4.0000,9.0000,1.0000,0.0000,1.0000,1.0000
sign_flip,0.25,45,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.3333,0.5774,7.0000,8.0000,7.3333,0.5774,7.0000,8.0000,7.3333,0.5774,7.0000,8.0000,1.0000,0.0000,1.0000,1.0000
slow_poison,0.1,15,3,0.5277,0.1449,0.3643,0.6406,-5.0000,1.0000,-6.0000,-4.0000,7.6667,0.5774,7.0000,8.0000,2.6667,1.1547,2.0000,4.0000,8.6667,1.1547,8.0000,10.0000,0.8917,0.1010,0.8000,1.0000
slow_poison,0.1,25,3,0.4922,0.0974,0.3981,0.5926,-5.0000,1.0000,-6.0000,-4.0000,7.0000,2.6458,5.0000,10.0000,2.0000,1.7321,1.0000,4.0000,7.3333,2.3094,6.0000,10.0000,0.9444,0.0962,0.8333,1.0000
slow_poison,0.1,35,3,0.5309,0.0990,0.4444,0.6389,-4.3333,1.5275,-6.0000,-3.0000,5.6667,2.0817,4.0000,8.0000,1.3333,0.5774,1.0000,2.0000,7.0000,1.7321,6.0000,9.0000,0.7963,0.1156,0.6667,0.8889
slow_poison,0.1,45,3,0.5006,0.0740,0.4537,0.5859,-3.6667,2.0817,-6.0000,-2.0000,5.3333,1.5275,4.0000,7.0000,1.6667,1.1547,1.0000,3.0000,7.0000,1.0000,6.0000,8.0000,0.7639,0.2055,0.6250,1.0000
slow_poison,0.25,15,3,0.8986,0.0746,0.8421,0.9832,-1.6667,2.3094,-3.0000,1.0000,5.3333,0.5774,5.0000,6.0000,3.6667,2.0817,2.0000,6.0000,6.0000,1.0000,5.0000,7.0000,0.9048,0.1649,0.7143,1.0000
slow_poison,0.25,25,3,0.9013,0.0439,0.8611,0.9481,0.0000,1.0000,-1.0000,1.0000,5.0000,2.0000,3.0000,7.0000,5.0000,2.6458,3.0000,8.0000,6.6667,2.0817,5.0000,9.0000,0.7370,0.1219,0.6000,0.8333
slow_poison,0.25,35,3,0.8007,0.0141,0.7870,0.8151,-2.0000,0.0000,-2.0000,-2.0000,6.3333,1.5275,5.0000,8.0000,4.3333,1.5275,3.0000,6.0000,7.3333,1.5275,6.0000,9.0000,0.8598,0.0279,0.8333,0.8889
slow_poison,0.25,45,3,0.8491,0.0227,0.8235,0.8667,-0.6667,0.5774,-1.0000,0.0000,6.0000,1.0000,5.0000,7.0000,5.3333,1.5275,4.0000,7.0000,7.6667,1.1547,7.0000,9.0000,0.7831,0.0715,0.7143,0.8571
alie,0.5,15,3,0.7475,0.0649,0.7059,0.8222,3.3333,0.5774,3.0000,4.0000,0.6667,1.1547,0.0000,2.0000,4.0000,1.0000,3.0000,5.0000,7.6667,1.1547,7.0000,9.0000,0.0741,0.1283,0.0000,0.2222
alie,0.5,25,3,0.8245,0.0725,0.7407,0.8672,2.3333,2.0817,0.0000,4.0000,2.0000,0.0000,2.0000,2.0000,4.3333,2.0817,2.0000,6.0000,7.0000,1.0000,6.0000,8.0000,0.2897,0.0418,0.2500,0.3333
alie,0.5,35,3,0.7432,0.1077,0.6500,0.8611,2.3333,1.5275,1.0000,4.0000,0.6667,0.5774,0.0000,1.0000,3.0000,2.0000,1.0000,5.0000,6.3333,2.5166,4.0000,9.0000,0.0926,0.0849,0.0000,0.1667
alie,0.5,45,3,0.8028,0.1158,0.6741,0.8984,2.6667,0.5774,2.0000,3.0000,2.0000,0.0000,2.0000,2.0000,4.6667,0.5774,4.0000,5.0000,8.3333,0.5774,8.0000,9.0000,0.2407,0.0161,0.2222,0.2500
alie,1.0,15,3,0.6791,0.1241,0.6016,0.8222,4.3333,1.5275,3.0000,6.0000,0.0000,0.0000,0.0000,0.0000,4.3333,1.5275,3.0000,6.0000,8.0000,1.0000,7.0000,9.0000,0.0000,0.0000,0.0000,0.0000
alie,1.0,25,3,0.6145,0.0554,0.5546,0.6639,3.3333,1.5275,2.0000,5.0000,0.0000,0.0000,0.0000,0.0000,3.3333,1.5275,2.0000,5.0000,7.3333,0.5774,7.0000,8.0000,0.0000,0.0000,0.0000,0.0000
alie,1.0,35,3,0.6399,0.0255,0.6134,0.6643,4.0000,2.0000,2.0000,6.0000,0.0000,0.0000,0.0000,0.0000,4.0000,2.0000,2.0000,6.0000,7.3333,2.5166,5.0000,10.0000,0.0000,0.0000,0.0000,0.0000
alie,1.0,45,3,0.6703,0.0333,0.6389,0.7053,2.3333,0.5774,2.0000,3.0000,0.0000,0.0000,0.0000,0.0000,2.3333,0.5774,2.0000,3.0000,5.6667,0.5774,5.0000,6.0000,0.0000,0.0000,0.0000,0.0000
gaussian_noise,0.5,15,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.6667,1.1547,7.0000,9.0000,7.6667,1.1547,7.0000,9.0000,7.6667,1.1547,7.0000,9.0000,1.0000,0.0000,1.0000,1.0000
