comparison,attack,alpha,delta_DR_mean,delta_DR_std,delta_FPR_mean,delta_FPR_std,delta_acc_mean,delta_acc_std,delta_ASR_mean,delta_ASR_std,flag_DR,flag_FPR,flag_acc
C3−C2,gaussian_noise,1.0,0.0000,0.0000,0.0439,0.0760,1.0667,0.7659,,,OK_bỏ_được,OK_bỏ_được,NHIỄU
C3−C2,sign_flip,0.1,-0.4167,0.7217,-0.8958,4.4081,-19.0667,30.2372,,,NHIỄU,NHIỄU,NHIỄU
C3−C2,sign_flip,1.0,0.0000,0.0000,0.0000,0.0000,0.4000,1.7550,,,OK_bỏ_được,OK_bỏ_được,NHIỄU
C3−C2,label_flip,0.1,-4.6187,5.6913,1.1215,2.4282,2.4167,5.8757,,,NHIỄU,NHIỄU,NHIỄU
C3−C2,label_flip,1.0,0.3932,2.3081,-0.1436,0.7831,-5.1500,8.1169,,,NHIỄU,NHIỄU,NHIỄU
C3−C2,alie,0.1,-1.6187,5.9422,1.1406,4.1553,11.2667,27.5424,,,NHIỄU,NHIỄU,NHIỄU
C3−C2,alie,1.0,0.0000,0.0000,0.3065,0.3418,2.3667,2.5339,,,OK_bỏ_được,NHIỄU,NHIỄU
C3−C2,on_off,0.1,0.4343,3.6289,0.8035,3.1991,-4.1500,4.1057,,,NHIỄU,NHIỄU,NHIỄU
C3−C2,on_off,1.0,0.0000,0.0000,-0.3261,0.3450,-0.2000,1.4583,,,OK_bỏ_được,NHIỄU,NHIỄU
C3−C2,minmax,0.1,-13.8022,24.5087,-9.0438,16.5246,0.4833,0.7326,,,NHIỄU,NHIỄU,NHIỄU
C3−C2,minmax,1.0,-1.3392,1.4658,1.0058,0.8953,-7.1500,21.1235,,,NHIỄU,NHIỄU,NHIỄU
C3−C2,slow_poison,0.1,0.6105,2.3460,2.2793,5.6900,0.4500,7.0611,,,NHIỄU,NHIỄU,NHIỄU
C3−C2,slow_poison,1.0,1.8074,4.4714,-0.0984,0.1730,0.4167,1.5767,,,NHIỄU,OK_bỏ_được,NHIỄU
