dataset,has_attack,round,cos_median,cos_mean,n
fashion-mnist,False,37,0.995,0.9923680555555556,144
fashion-mnist,False,38,0.994,0.9916041666666666,144
fashion-mnist,False,39,0.995,0.9930694444444446,144
fashion-mnist,False,40,0.995,0.9919583333333334,144
fashion-mnist,False,41,0.994,0.9917777777777778,144
fashion-mnist,False,42,0.994,0.9914583333333334,144
fashion-mnist,False,43,0.994,0.9913888888888889,144
fashion-mnist,False,44,0.994,0.9919791666666666,144
fashion-mnist,False,45,0.994,0.9911180555555555,144
fashion-mnist,False,46,0.994,0.9905347222222223,144
fashion-mnist,False,47,0.994,0.9915694444444445,144
fashion-mnist,False,48,0.994,0.9916944444444444,144
fashion-mnist,False,49,0.994,0.9922916666666666,144
fashion-mnist,False,50,0.994,0.9910486111111112,144
fashion-mnist,True,11,0.996,0.9908113342898135,1394
fashion-mnist,True,12,0.996,0.9895496828752643,1419
fashion-mnist,True,13,0.996,0.988697953422724,1417
fashion-mnist,True,14,0.995,0.9881069900142654,1402
fashion-mnist,True,15,0.995,0.9888884150675196,1407
fashion-mnist,True,16,0.995,0.9878745414526778,1363
fashion-mnist,True,17,0.995,0.9870738161559889,1436
fashion-mnist,True,18,0.995,0.987699644128114,1405
fashion-mnist,True,19,0.995,0.9864410071942447,1390
fashion-mnist,True,20,0.995,0.9853128919860628,1435
fashion-mnist,True,21,0.995,0.9858719943422913,1414
fashion-mnist,True,22,0.995,0.9858004261363637,1408
fashion-mnist,True,23,0.995,0.9851514305652477,1433
fashion-mnist,True,24,0.994,0.9841346562721475,1411
fashion-mnist,True,25,0.994,0.9843347309573726,1431
fashion-mnist,True,26,0.994,0.9843657307415405,1389
fashion-mnist,True,27,0.994,0.983529661016949,1416
fashion-mnist,True,28,0.994,0.9836612331679659,1411
fashion-mnist,True,29,0.994,0.9838174037089871,1402
fashion-mnist,True,30,0.994,0.9834621790423318,1441
fashion-mnist,True,31,0.994,0.9845672061928219,1421
fashion-mnist,True,32,0.993,0.9838022519352568,1421
fashion-mnist,True,33,0.994,0.9832760563380282,1420
fashion-mnist,True,34,0.994,0.9852253020611229,1407
fashion-mnist,True,35,0.993,0.9827968526466381,1398
fashion-mnist,True,36,0.993,0.9839670637701472,1427
fashion-mnist,True,37,0.993,0.9824954193093728,1419
fashion-mnist,True,38,0.993,0.9788401727861771,1389
fashion-mnist,True,39,0.993,0.9797111269614837,1402
fashion-mnist,True,40,0.993,0.9811463590483056,1387
fashion-mnist,True,41,0.993,0.9813163191948239,1391
fashion-mnist,True,42,0.992,0.981118930330753,1421
fashion-mnist,True,43,0.993,0.9812943237561318,1427
fashion-mnist,True,44,0.9924999999999999,0.9794535050071531,1398
fashion-mnist,True,45,0.993,0.9823607954545455,1408
fashion-mnist,True,46,0.993,0.9821803977272728,1408
fashion-mnist,True,47,0.993,0.9785855031667839,1421
fashion-mnist,True,48,0.992,0.9815454545454546,1397
fashion-mnist,True,49,0.992,0.9804084507042254,1420
fashion-mnist,True,50,0.993,0.9819598591549296,1420
