dataset,alpha,n_attacker_flagged,distance_mean,distance_median,distance_std,cosine_mean,cosine_median,pct_rescue_eligible
cifar-10,0.1,219,591.025205479452,901.86,339.2676127861643,0.5256529680365297,0.345,0.0821917808219178
cifar-10,0.25,253,123.22901185770752,114.58,52.01746099746579,0.9594031620553359,0.984,0.7707509881422925
cifar-10,0.5,55,123.69345454545453,109.85,50.948307180040686,0.7929818181818181,0.832,0.38181818181818183
cifar-10,1.0,13,107.04538461538462,90.74,77.56919702383853,0.8523846153846153,0.812,0.3076923076923077
fashion-mnist,0.1,574,522.1549128919861,764.41,277.71639242749393,0.493006968641115,0.3105,0.07491289198606271
fashion-mnist,0.25,273,153.71344322344325,129.22,109.90835130855767,0.9475714285714286,0.996,0.18315018315018314
fashion-mnist,0.5,44,126.78272727272726,116.28999999999999,42.411632309776806,0.7457954545454545,0.781,0.022727272727272728
fashion-mnist,1.0,446,124.44479820627804,108.53,57.09423599730967,0.7718094170403587,0.791,0.11659192825112108
