dataset,attack,alpha,seed,collapse_round,round,offset,DR,FPR,n_accepted_true,n_attacker_leaked_proxy,l1_mad,l2_thr_distance,hypothesis
fashion-mnist,alie,0.1,777,14,14,0,0.0,0.1875,21.0,8,59.9124,157.81,H1_SOT
fashion-mnist,alie,0.25,123,30,27,-3,0.16666666666666666,0.05555555555555555,22.0,5,36.1163,103.78,H1_SOT
fashion-mnist,alie,0.25,123,30,28,-2,0.0,0.05555555555555555,23.0,6,42.5517,113.8,H1_SOT
fashion-mnist,alie,0.25,123,30,29,-1,0.0,0.1111111111111111,22.0,6,36.4152,102.41,H1_SOT
fashion-mnist,alie,0.25,123,30,30,0,0.0,0.06666666666666667,23.0,9,48.5041,128.23,H1_SOT
fashion-mnist,alie,0.25,777,17,14,-3,0.125,0.0625,22.0,7,42.5322,111.12,H1_SOT
fashion-mnist,alie,0.25,777,17,15,-2,0.16666666666666666,0.0,23.0,5,35.9817,97.45,H1_SOT
fashion-mnist,alie,0.25,777,17,16,-1,0.1,0.07142857142857142,22.0,9,42.0841,110.41,H1_SOT
fashion-mnist,alie,0.25,777,17,17,0,0.0,0.13333333333333333,22.0,9,37.057,99.79,H1_SOT
fashion-mnist,alie,0.5,42,12,11,-1,0.0,0.0,20.0,6,24.2084,69.84,H1_SOT
fashion-mnist,alie,0.5,42,12,12,0,0.0,0.0,19.0,8,24.0865,70.97,H1_SOT
fashion-mnist,alie,0.5,123,14,11,-3,0.0,0.058823529411764705,18.0,7,12.5721,52.88,H1_SOT
fashion-mnist,alie,0.5,123,14,12,-2,0.0,0.0,22.0,6,30.3871,81.98,H1_SOT
fashion-mnist,alie,0.5,123,14,13,-1,0.0,0.058823529411764705,22.0,7,18.2826,62.29,H1_SOT
fashion-mnist,alie,0.5,123,14,14,0,0.0,0.07142857142857142,18.0,10,12.5797,54.25,H1_SOT
fashion-mnist,alie,0.5,777,19,16,-3,0.0,0.06666666666666667,20.0,9,12.5905,61.26,H1_SOT
fashion-mnist,alie,0.5,777,19,17,-2,0.0,0.0,21.0,7,18.1449,65.26,H1_SOT
fashion-mnist,alie,0.5,777,19,18,-1,0.0,0.0,20.0,7,12.1243,50.04,H1_SOT
fashion-mnist,alie,0.5,777,19,19,0,0.0,0.0,19.0,10,18.3958,65.13,H1_SOT
fashion-mnist,minmax,0.1,42,13,11,-2,0.4444444444444444,0.0,20.0,5,68.4655,199.28,H1_SOT
fashion-mnist,minmax,0.1,42,13,12,-1,0.6,0.0,21.0,2,56.9559,190.99,H1_SOT
fashion-mnist,minmax,0.1,42,13,13,0,0.42857142857142855,0.17647058823529413,18.0,4,72.9734,228.35,H1_SOT
fashion-mnist,minmax,0.1,123,13,11,-2,0.4,0.10526315789473684,20.0,3,54.4159,195.27,H1_SOT
fashion-mnist,minmax,0.1,123,13,12,-1,0.42857142857142855,0.11764705882352941,19.0,4,62.4425,227.91,H1_SOT
fashion-mnist,minmax,0.1,123,13,13,0,0.3333333333333333,0.1111111111111111,20.0,4,66.7671,217.39,H1_SOT
fashion-mnist,minmax,0.1,777,15,12,-3,0.5,0.05555555555555555,20.0,3,81.8288,250.95,H1_SOT
fashion-mnist,minmax,0.1,777,15,13,-2,0.75,0.25,14.0,2,61.5277,216.74,H1_SOT
fashion-mnist,minmax,0.1,777,15,14,-1,0.7777777777777778,0.26666666666666666,13.0,2,78.3989,172.48,H1_SOT
fashion-mnist,minmax,0.1,777,15,15,0,0.5714285714285714,0.11764705882352941,18.0,3,71.8183,223.03,H1_SOT
