dataset,attack,alpha,seed,round,n_total,n_attacker_gt,n_l1_rejected,n_l1_flagged,n_l1_accepted,n_l2_rejected,n_final_rejected,n_accepted_for_aggregation,n_total_true,accuracy,GDS,H,theta_adj_signal,n_rescued,n_confirmed,n_flagged_from_l1_summary,l1_median,l1_mad,l1_thr_reject,l1_thr_flag,l2_thr_distance,l2_thr_cosine
cifar-10,alie,0.1,123,11,24,6.0,2,0,22,7,7,17.0,24.0,0.314,0.681,0.1829,0.6843,0.0,0.0,0.0,91.5201,53.5307,305.6428,252.1121,153.9,0.8
cifar-10,alie,0.1,123,12,24,7.0,0,2,22,5,5,19.0,24.0,0.374,0.5851,0.1872,0.6843,2.0,0.0,2.0,147.9613,58.5488,382.1566,323.6078,198.76,0.8
cifar-10,alie,0.1,123,13,24,8.0,2,0,22,7,7,17.0,24.0,0.293,0.7558,0.1625,0.6843,0.0,0.0,0.0,94.7375,58.485,328.6775,270.1925,165.14,0.8
cifar-10,alie,0.1,123,14,24,9.0,0,1,23,8,8,16.0,24.0,0.377,0.6938,0.1746,0.6843,0.0,1.0,1.0,99.6657,58.9015,335.2717,276.3702,168.21,0.8
cifar-10,alie,0.1,123,15,24,8.0,1,0,23,11,11,13.0,24.0,0.3425,0.7251,0.1835,0.6843,0.0,0.0,0.0,101.965,48.3099,295.2044,246.8946,165.05,0.8
cifar-10,alie,0.1,123,16,24,5.0,1,0,23,6,6,18.0,24.0,0.4305,0.6947,0.1937,0.6843,0.0,0.0,0.0,92.7664,53.2231,305.6586,252.4356,165.69,0.8
cifar-10,alie,0.1,123,17,24,6.0,1,2,21,9,9,15.0,24.0,0.341,0.7622,0.1441,0.6843,0.0,2.0,2.0,104.2026,57.2504,333.2044,275.9539,167.91,0.8
cifar-10,alie,0.1,123,18,24,6.0,1,1,22,7,7,17.0,24.0,0.3845,0.7611,0.2131,0.6843,0.0,1.0,1.0,92.7202,58.4935,326.6942,268.2007,164.59,0.8
cifar-10,alie,0.1,123,19,24,4.0,1,1,22,7,7,17.0,24.0,0.388,0.7663,0.2093,0.6843,0.0,1.0,1.0,89.7944,54.0744,306.0918,252.0175,169.78,0.8
cifar-10,alie,0.1,123,20,24,7.0,1,0,23,6,6,18.0,24.0,0.455,0.3971,0.1745,0.6843,0.0,0.0,0.0,122.7863,44.7185,301.6605,256.9419,166.17,0.8
cifar-10,alie,0.1,123,21,24,7.0,0,2,22,7,7,17.0,24.0,0.4085,0.607,0.1769,0.6843,0.0,2.0,2.0,115.9405,63.1174,368.4099,305.2926,189.41,0.8
cifar-10,alie,0.1,123,22,24,8.0,1,0,23,8,8,16.0,24.0,0.456,0.8801,0.1932,0.6843,0.0,0.0,0.0,88.5236,63.4827,342.4542,278.9716,155.11,0.8
cifar-10,alie,0.1,123,23,24,6.0,0,2,22,9,9,15.0,24.0,0.5335,0.5169,0.1891,0.6843,0.0,2.0,2.0,121.5885,55.9648,345.4478,289.4829,190.92,0.8
cifar-10,alie,0.1,123,24,24,5.0,1,2,21,10,10,14.0,24.0,0.4885,0.5698,0.1403,0.6843,2.0,0.0,2.0,101.0528,46.7038,287.868,241.1642,171.71,0.8
cifar-10,alie,0.1,123,25,24,7.0,0,2,22,6,6,18.0,24.0,0.481,0.5747,0.2028,0.6843,0.0,2.0,2.0,126.6174,67.1246,395.1159,327.9913,196.38,0.8
cifar-10,alie,0.1,123,26,24,7.0,0,0,24,4,4,20.0,24.0,0.478,0.591,0.1657,0.6843,0.0,0.0,0.0,146.1931,83.3576,479.6237,396.266,244.64,0.8
cifar-10,alie,0.1,123,27,24,8.0,1,0,23,9,9,15.0,24.0,0.49,0.5105,0.177,0.6843,0.0,0.0,0.0,129.216,43.6221,303.7042,260.0822,182.12,0.8
cifar-10,alie,0.1,123,28,24,4.0,0,1,23,6,6,18.0,24.0,0.5485,0.6402,0.1333,0.6843,0.0,1.0,1.0,128.4058,69.1023,404.8148,335.7125,191.09,0.8
cifar-10,alie,0.1,123,29,24,8.0,0,0,24,6,6,18.0,24.0,0.477,0.5172,0.1644,0.6843,0.0,0.0,0.0,143.261,69.8357,422.6039,352.7682,236.35,0.8
cifar-10,alie,0.1,123,30,24,6.0,1,0,23,8,8,16.0,24.0,0.497,0.6298,0.1508,0.6843,0.0,0.0,0.0,98.7291,52.3404,308.0907,255.7503,167.53,0.8
cifar-10,alie,0.1,123,31,24,6.0,0,2,22,9,9,15.0,24.0,0.529,0.4686,0.2157,0.6843,0.0,2.0,2.0,120.0567,56.27,345.1366,288.8666,189.21,0.8
cifar-10,alie,0.1,123,32,24,7.0,0,0,24,8,8,16.0,24.0,0.484,0.5539,0.2056,0.6843,0.0,0.0,0.0,135.6933,64.0666,391.9597,327.8931,194.61,0.8
cifar-10,alie,0.1,123,33,24,5.0,0,0,24,9,9,15.0,24.0,0.452,0.7508,0.1929,0.6843,0.0,0.0,0.0,113.1702,55.459,335.0063,279.5473,172.42,0.8
cifar-10,alie,0.1,123,34,24,7.0,0,2,22,9,9,15.0,24.0,0.5255,0.5086,0.1431,0.6843,0.0,2.0,2.0,123.2983,59.9061,362.9227,303.0166,194.15,0.8
cifar-10,alie,0.1,123,35,24,8.0,0,0,24,5,5,19.0,24.0,0.5355,0.3234,0.1677,0.6843,0.0,0.0,0.0,156.6624,65.5348,418.8018,353.267,189.81,0.8
cifar-10,alie,0.1,123,36,24,7.0,0,0,24,9,9,15.0,24.0,0.503,0.64,0.1933,0.6843,0.0,0.0,0.0,138.7599,80.3353,460.1012,379.7659,252.41,0.8
cifar-10,alie,0.1,123,37,24,7.0,0,1,23,8,8,16.0,24.0,0.502,0.6015,0.1643,0.6843,1.0,0.0,1.0,143.2849,62.6509,393.8884,331.2375,245.3,0.8
cifar-10,alie,0.1,123,38,24,5.0,0,1,23,10,10,14.0,24.0,0.4965,0.5737,0.1798,0.6843,0.0,1.0,1.0,127.935,59.2517,364.9417,305.69,195.91,0.8
cifar-10,alie,0.1,123,39,24,8.0,0,2,22,11,11,13.0,24.0,0.4605,0.8156,0.184,0.6843,0.0,2.0,2.0,106.8204,67.2675,375.8902,308.6227,187.03,0.8
cifar-10,alie,0.1,123,40,24,5.0,1,0,23,11,11,13.0,24.0,0.4815,0.6767,0.2145,0.6843,0.0,0.0,0.0,99.5671,49.0763,295.8724,246.7961,172.49,0.8
cifar-10,alie,0.1,123,41,24,8.0,1,0,23,12,12,12.0,24.0,0.1035,0.8157,0.2536,0.6843,0.0,0.0,0.0,86.1232,60.7324,329.0529,268.3205,158.57,0.8
cifar-10,alie,0.1,123,42,24,8.0,0,1,23,8,8,16.0,24.0,0.563,0.5122,0.1725,0.6843,1.0,0.0,1.0,145.2743,64.2121,402.1228,337.9106,226.42,0.8
cifar-10,alie,0.1,123,43,24,8.0,2,0,22,8,8,16.0,24.0,0.5605,0.5147,0.1584,0.6843,0.0,0.0,0.0,127.0269,50.4597,328.8658,278.4061,196.43,0.8
cifar-10,alie,0.1,123,44,24,8.0,0,0,24,7,7,17.0,24.0,0.552,0.5167,0.1439,0.6843,0.0,0.0,0.0,162.6479,69.2063,439.4732,370.2669,221.44,0.8
cifar-10,alie,0.1,123,45,24,8.0,0,0,24,8,8,16.0,24.0,0.5755,0.6086,0.1786,0.6843,0.0,0.0,0.0,136.5437,69.4143,414.2008,344.7865,200.88,0.8
cifar-10,alie,0.1,123,46,24,7.0,0,0,24,10,10,14.0,24.0,0.5295,0.5512,0.1646,0.6843,0.0,0.0,0.0,131.0497,67.4312,400.7745,333.3433,209.65,0.8
cifar-10,alie,0.1,123,47,24,8.0,1,1,22,14,14,10.0,24.0,0.096,0.7458,0.1774,0.6843,0.0,1.0,1.0,104.7242,54.8674,324.1939,269.3265,163.39,0.8
cifar-10,alie,0.1,123,48,24,5.0,1,1,22,12,12,12.0,24.0,0.582,0.4541,0.1439,0.6843,0.0,1.0,1.0,125.9211,52.9995,337.9189,284.9195,191.54,0.8
cifar-10,alie,0.1,123,49,24,7.0,0,2,22,13,13,11.0,24.0,0.599,0.5999,0.1617,0.6843,0.0,2.0,2.0,130.0148,63.7023,384.8242,321.1218,212.45,0.8
cifar-10,alie,0.1,123,50,24,6.0,0,0,24,10,10,14.0,24.0,0.536,0.5634,0.1583,0.6843,0.0,0.0,0.0,148.9189,67.6281,419.4312,351.8031,243.2,0.8
cifar-10,alie,0.1,42,11,24,8.0,0,1,23,7,7,17.0,24.0,0.2595,0.7277,0.1942,0.693,0.0,1.0,1.0,94.6933,53.1882,307.446,254.2578,168.71,0.8
cifar-10,alie,0.1,42,12,24,6.0,0,0,24,5,5,19.0,24.0,0.3035,0.541,0.1845,0.693,0.0,0.0,0.0,143.4971,65.3779,405.0087,339.6308,227.36,0.8
cifar-10,alie,0.1,42,13,24,6.0,1,0,23,10,10,14.0,24.0,0.3575,0.5492,0.1889,0.693,0.0,0.0,0.0,121.0045,55.5749,343.3042,287.7293,196.8,0.8
cifar-10,alie,0.1,42,14,24,6.0,0,1,23,9,9,15.0,24.0,0.2905,0.6428,0.2029,0.693,0.0,1.0,1.0,129.4176,68.0702,401.6983,333.6281,204.02,0.8
cifar-10,alie,0.1,42,15,24,7.0,0,2,22,11,11,13.0,24.0,0.272,0.7623,0.1778,0.693,0.0,2.0,2.0,121.1429,54.7761,340.2474,285.4713,181.87,0.8
cifar-10,alie,0.1,42,16,24,8.0,2,0,22,8,8,16.0,24.0,0.2825,0.7704,0.2262,0.693,0.0,0.0,0.0,94.5743,52.4962,304.5593,252.063,165.96,0.8
cifar-10,alie,0.1,42,17,24,6.0,0,0,24,9,9,15.0,24.0,0.343,0.6843,0.2415,0.693,0.0,0.0,0.0,124.5112,73.2074,417.3406,344.1332,225.11,0.8
cifar-10,alie,0.1,42,18,24,8.0,0,0,24,7,7,17.0,24.0,0.3865,0.5872,0.1752,0.693,0.0,0.0,0.0,148.7314,74.7003,447.5324,372.8321,232.1,0.8
cifar-10,alie,0.1,42,19,24,6.0,0,2,22,8,8,16.0,24.0,0.415,0.6239,0.2552,0.693,0.0,2.0,2.0,120.3477,68.4404,394.1093,325.6689,195.95,0.8
cifar-10,alie,0.1,42,20,24,7.0,0,1,23,11,11,13.0,24.0,0.3605,0.8874,0.1939,0.693,0.0,1.0,1.0,92.9499,64.3377,350.3009,285.9631,171.0,0.8
cifar-10,alie,0.1,42,21,24,10.0,0,1,23,8,8,16.0,24.0,0.3295,0.6162,0.2009,0.693,0.0,1.0,1.0,128.618,68.6859,403.3616,334.6757,193.59,0.8
cifar-10,alie,0.1,42,22,24,6.0,0,1,23,12,12,12.0,24.0,0.432,0.6309,0.1897,0.693,0.0,1.0,1.0,126.1316,66.8716,393.6182,326.7465,215.8,0.8
cifar-10,alie,0.1,42,23,24,7.0,0,0,24,8,8,16.0,24.0,0.3625,0.6344,0.2184,0.693,0.0,0.0,0.0,143.8732,77.705,454.6932,376.9882,261.81,0.8
cifar-10,alie,0.1,42,24,24,6.0,0,1,23,10,10,14.0,24.0,0.4055,0.5928,0.1963,0.693,0.0,1.0,1.0,126.1027,61.4368,371.85,310.4132,216.27,0.8
cifar-10,alie,0.1,42,25,24,7.0,0,0,24,6,6,18.0,24.0,0.4865,0.4907,0.1372,0.693,0.0,0.0,0.0,154.554,65.3548,415.9731,350.6183,221.61,0.8
cifar-10,alie,0.1,42,26,24,8.0,2,0,22,10,10,14.0,24.0,0.4865,0.5081,0.1359,0.693,0.0,0.0,0.0,126.9842,47.6247,317.4832,269.8584,192.46,0.8
cifar-10,alie,0.1,42,27,24,8.0,1,0,23,11,11,13.0,24.0,0.474,0.7489,0.2382,0.693,0.0,0.0,0.0,93.2243,50.6409,295.788,245.147,172.34,0.8
cifar-10,alie,0.1,42,28,24,5.0,1,1,22,13,13,11.0,24.0,0.4535,0.668,0.229,0.693,0.0,1.0,1.0,105.7905,53.2149,318.6503,265.4353,188.13,0.8
cifar-10,alie,0.1,42,29,24,7.0,1,2,21,9,9,15.0,24.0,0.4925,0.5783,0.2419,0.693,2.0,0.0,2.0,150.7827,46.4883,336.7361,290.2478,236.91,0.8
cifar-10,alie,0.1,42,30,24,7.0,2,0,22,11,11,13.0,24.0,0.53,0.7695,0.1988,0.693,0.0,0.0,0.0,101.406,57.6693,332.0833,274.414,180.09,0.8
cifar-10,alie,0.1,42,31,24,6.0,1,1,22,10,10,14.0,24.0,0.522,0.6801,0.1705,0.693,1.0,0.0,1.0,94.8645,45.6531,277.477,231.8238,168.28,0.8
cifar-10,alie,0.1,42,32,24,7.0,0,1,23,5,5,19.0,24.0,0.532,0.4414,0.1392,0.693,1.0,0.0,1.0,149.6384,55.2972,370.8273,315.5301,208.55,0.8
cifar-10,alie,0.1,42,33,24,6.0,0,0,24,6,6,18.0,24.0,0.5365,0.5734,0.186,0.693,0.0,0.0,0.0,140.1971,70.8322,423.526,352.6938,243.82,0.8
cifar-10,alie,0.1,42,34,24,5.0,2,0,22,11,11,13.0,24.0,0.5775,0.7508,0.2146,0.693,0.0,0.0,0.0,101.0847,53.5781,315.3973,261.8191,178.01,0.8
cifar-10,alie,0.1,42,35,24,9.0,0,2,22,12,12,12.0,24.0,0.5325,0.5964,0.1771,0.693,0.0,2.0,2.0,133.0842,64.1445,389.6621,325.5176,207.3,0.8
cifar-10,alie,0.1,42,36,24,8.0,0,0,24,7,7,17.0,24.0,0.5085,0.5804,0.1314,0.693,0.0,0.0,0.0,152.2355,74.5271,450.3438,375.8168,240.69,0.8
cifar-10,alie,0.1,42,37,24,7.0,0,2,22,12,12,12.0,24.0,0.5155,0.7462,0.1946,0.693,0.0,2.0,2.0,108.4745,61.2359,353.4183,292.1824,187.39,0.8
cifar-10,alie,0.1,42,38,24,7.0,0,2,22,7,7,17.0,24.0,0.5235,0.5039,0.1674,0.693,2.0,0.0,2.0,150.7382,57.0332,378.871,321.8378,219.95,0.8
cifar-10,alie,0.1,42,39,24,8.0,0,1,23,5,5,19.0,24.0,0.477,0.4874,0.1605,0.693,1.0,0.0,1.0,149.9086,55.398,371.5006,316.1026,204.98,0.8
cifar-10,alie,0.1,42,40,24,6.0,0,1,23,10,10,14.0,24.0,0.4645,0.5562,0.226,0.693,0.0,1.0,1.0,145.0016,62.0718,393.2886,331.2169,203.47,0.8
cifar-10,alie,0.1,42,41,24,7.0,0,0,24,9,9,15.0,24.0,0.412,0.6805,0.2096,0.693,0.0,0.0,0.0,134.5097,75.1299,435.0293,359.8994,204.77,0.8
cifar-10,alie,0.1,42,42,24,9.0,1,0,23,11,11,13.0,24.0,0.42,0.6617,0.2501,0.693,0.0,0.0,0.0,94.8365,51.9118,302.4838,250.572,171.13,0.8
cifar-10,alie,0.1,42,43,24,7.0,0,0,24,8,8,16.0,24.0,0.453,0.7622,0.219,0.693,0.0,0.0,0.0,131.9445,72.6742,422.6412,349.967,212.68,0.8
cifar-10,alie,0.1,42,44,24,5.0,0,1,23,10,10,14.0,24.0,0.4785,0.7814,0.199,0.693,0.0,1.0,1.0,100.4381,60.5946,342.8167,282.222,177.91,0.8
cifar-10,alie,0.1,42,45,24,7.0,0,2,22,10,10,14.0,24.0,0.522,0.6632,0.214,0.693,0.0,2.0,2.0,120.4327,64.7468,379.4201,314.6732,203.73,0.8
cifar-10,alie,0.1,42,46,24,7.0,0,1,23,11,11,13.0,24.0,0.563,0.6747,0.1577,0.693,0.0,1.0,1.0,116.6482,57.4549,346.4676,289.0127,172.4,0.8
cifar-10,alie,0.1,42,47,24,9.0,0,2,22,11,11,13.0,24.0,0.4845,0.7739,0.2003,0.693,0.0,2.0,2.0,102.6834,64.5595,360.9215,296.3619,182.37,0.8
cifar-10,alie,0.1,42,48,24,7.0,2,1,21,10,10,14.0,24.0,0.514,0.6645,0.17,0.693,1.0,0.0,1.0,99.2103,46.6815,285.9362,239.2547,176.44,0.8
cifar-10,alie,0.1,42,49,24,8.0,1,0,23,12,12,12.0,24.0,0.525,0.7783,0.2506,0.693,0.0,0.0,0.0,90.2287,57.3265,319.5349,262.2083,146.21,0.8
cifar-10,alie,0.1,42,50,24,7.0,2,1,21,11,11,13.0,24.0,0.536,0.7435,0.2136,0.693,1.0,0.0,1.0,94.8022,50.3199,296.0817,245.7618,185.16,0.8
cifar-10,alie,0.1,777,11,24,7.0,0,2,22,4,4,20.0,24.0,0.2745,0.6462,0.1539,0.6846,2.0,0.0,2.0,89.3978,47.2291,278.314,231.085,163.31,0.8
cifar-10,alie,0.1,777,12,24,8.0,0,0,24,5,5,19.0,24.0,0.22,0.5411,0.197,0.6846,0.0,0.0,0.0,144.885,77.2405,453.8469,376.6064,228.98,0.8
cifar-10,alie,0.1,777,13,24,8.0,1,1,22,11,11,13.0,24.0,0.2925,0.7808,0.2169,0.6846,0.0,1.0,1.0,105.9616,54.5177,324.0323,269.5147,171.15,0.8
cifar-10,alie,0.1,777,14,24,8.0,0,0,24,5,5,19.0,24.0,0.32,0.5005,0.1738,0.6846,0.0,0.0,0.0,155.5445,60.497,397.5325,337.0355,216.61,0.8
cifar-10,alie,0.1,777,15,24,7.0,0,0,24,4,4,20.0,24.0,0.3725,0.5449,0.1558,0.6846,0.0,0.0,0.0,142.8764,81.9589,470.712,388.7531,240.89,0.8
cifar-10,alie,0.1,777,16,24,5.0,0,2,22,9,9,15.0,24.0,0.285,0.5951,0.1958,0.6846,0.0,2.0,2.0,125.9485,68.5273,400.0576,331.5303,194.74,0.8
cifar-10,alie,0.1,777,17,24,6.0,0,2,22,9,9,15.0,24.0,0.3675,0.7891,0.2075,0.6846,0.0,2.0,2.0,105.0591,63.7715,360.1452,296.3737,190.94,0.8
cifar-10,alie,0.1,777,18,24,6.0,0,0,24,4,4,20.0,24.0,0.4245,0.5787,0.1862,0.6846,0.0,0.0,0.0,142.3349,81.1034,466.7486,385.6452,241.04,0.8
cifar-10,alie,0.1,777,19,24,9.0,0,0,24,5,5,19.0,24.0,0.3685,0.5751,0.1679,0.6846,0.0,0.0,0.0,145.8703,65.871,409.3543,343.4833,246.31,0.8
cifar-10,alie,0.1,777,20,24,7.0,0,2,22,4,4,20.0,24.0,0.4395,0.5729,0.1811,0.6846,2.0,0.0,2.0,138.4565,62.6566,389.0829,326.4263,228.8,0.8
cifar-10,alie,0.1,777,21,24,8.0,0,1,23,8,8,16.0,24.0,0.391,0.5605,0.155,0.6846,1.0,0.0,1.0,138.901,58.4625,372.7509,314.2884,228.0,0.8
cifar-10,alie,0.1,777,22,24,8.0,0,0,24,7,7,17.0,24.0,0.32,0.5677,0.1392,0.6846,0.0,0.0,0.0,143.7425,67.8234,415.0363,347.2128,240.01,0.8
cifar-10,alie,0.1,777,23,24,9.0,0,2,22,10,10,14.0,24.0,0.364,0.7771,0.2079,0.6846,0.0,2.0,2.0,93.4712,63.1121,345.9194,282.8074,186.19,0.8
cifar-10,alie,0.1,777,24,24,6.0,2,2,20,13,13,11.0,24.0,0.399,0.678,0.2024,0.6846,0.0,2.0,2.0,80.2587,35.6613,222.904,187.2427,140.08,0.8
cifar-10,alie,0.1,777,25,24,6.0,0,1,23,6,6,18.0,24.0,0.459,0.5226,0.1906,0.6846,1.0,0.0,1.0,143.7269,64.6977,402.5175,337.8199,226.15,0.8
cifar-10,alie,0.1,777,26,24,8.0,3,0,21,14,14,10.0,24.0,0.4145,0.831,0.192,0.6846,0.0,0.0,0.0,83.9064,52.7604,294.9479,242.1875,150.32,0.8
cifar-10,alie,0.1,777,27,24,6.0,0,2,22,11,11,13.0,24.0,0.4185,0.8125,0.2141,0.6846,0.0,2.0,2.0,101.8297,60.2914,342.9951,282.7037,171.83,0.8
cifar-10,alie,0.1,777,28,24,7.0,1,0,23,8,8,16.0,24.0,0.527,0.7421,0.1784,0.6846,0.0,0.0,0.0,89.4505,53.5221,303.539,250.0169,163.44,0.8
cifar-10,alie,0.1,777,29,24,5.0,0,0,24,11,11,13.0,24.0,0.5225,0.7853,0.1669,0.6846,0.0,0.0,0.0,91.6106,53.9888,307.5657,253.5769,157.2,0.8
cifar-10,alie,0.1,777,30,24,7.0,0,0,24,8,8,16.0,24.0,0.5065,0.6196,0.1577,0.6846,0.0,0.0,0.0,161.154,68.983,437.0859,368.1029,225.7,0.8
cifar-10,alie,0.1,777,31,24,4.0,0,0,24,7,7,17.0,24.0,0.478,0.7277,0.2381,0.6846,0.0,0.0,0.0,134.1398,88.3994,487.7372,399.3378,216.58,0.8
cifar-10,alie,0.1,777,32,24,6.0,0,1,23,10,10,14.0,24.0,0.513,0.5838,0.1747,0.6846,0.0,1.0,1.0,128.2456,67.5429,398.4173,330.8744,208.16,0.8
cifar-10,alie,0.1,777,33,24,6.0,2,1,21,15,15,9.0,24.0,0.555,0.7647,0.2009,0.6846,0.0,1.0,1.0,86.4194,49.6713,285.1046,235.4333,165.17,0.8
cifar-10,alie,0.1,777,34,24,7.0,0,1,23,9,9,15.0,24.0,0.4195,0.5508,0.1832,0.6846,1.0,0.0,1.0,141.7221,64.9066,401.3484,336.4418,237.74,0.8
cifar-10,alie,0.1,777,35,24,7.0,0,0,24,9,9,15.0,24.0,0.505,0.78,0.1929,0.6846,0.0,0.0,0.0,112.0036,60.6245,354.5014,293.8769,177.02,0.8
cifar-10,alie,0.1,777,36,24,9.0,0,0,24,9,9,15.0,24.0,0.521,0.5971,0.1639,0.6846,0.0,0.0,0.0,143.5264,81.9218,471.2135,389.2918,249.02,0.8
cifar-10,alie,0.1,777,37,24,7.0,0,1,23,10,10,14.0,24.0,0.5745,0.6725,0.1525,0.6846,0.0,1.0,1.0,95.4837,44.3975,273.0736,228.6761,157.85,0.8
cifar-10,alie,0.1,777,38,24,8.0,1,1,22,9,9,15.0,24.0,0.515,0.6834,0.16,0.6846,0.0,1.0,1.0,104.6504,57.8009,335.8539,278.053,178.41,0.8
cifar-10,alie,0.1,777,39,24,4.0,0,2,22,13,13,11.0,24.0,0.562,0.8601,0.2081,0.6846,0.0,2.0,2.0,88.5328,65.7667,351.5995,285.8328,143.0,0.8
cifar-10,alie,0.1,777,40,24,6.0,0,1,23,11,11,13.0,24.0,0.561,0.627,0.2161,0.6846,0.0,1.0,1.0,127.0982,70.9116,410.7448,339.8331,206.9,0.8
cifar-10,alie,0.1,777,41,24,9.0,0,1,23,7,7,17.0,24.0,0.5785,0.4535,0.1907,0.6846,0.0,1.0,1.0,147.4249,51.6896,354.1833,302.4937,191.72,0.8
cifar-10,alie,0.1,777,42,24,8.0,0,0,24,9,9,15.0,24.0,0.486,0.7212,0.1585,0.6846,0.0,0.0,0.0,117.1,57.3904,346.6615,289.2711,187.41,0.8
cifar-10,alie,0.1,777,43,24,8.0,0,0,24,8,8,16.0,24.0,0.5195,0.5007,0.1751,0.6846,0.0,0.0,0.0,158.5749,68.6533,433.1883,364.535,242.25,0.8
cifar-10,alie,0.1,777,44,24,8.0,1,1,22,12,12,12.0,24.0,0.3425,0.8327,0.2002,0.6846,0.0,1.0,1.0,95.4833,57.2155,324.3454,267.1299,172.38,0.8
cifar-10,alie,0.1,777,45,24,6.0,0,2,22,11,11,13.0,24.0,0.514,0.6502,0.2271,0.6846,0.0,2.0,2.0,140.4296,62.6067,390.8563,328.2496,223.36,0.8
cifar-10,alie,0.1,777,46,24,7.0,0,0,24,10,10,14.0,24.0,0.4965,0.5349,0.2114,0.6846,0.0,0.0,0.0,145.0733,75.0547,445.2923,370.2376,241.9,0.8
cifar-10,alie,0.1,777,47,24,6.0,0,0,24,9,9,15.0,24.0,0.5165,0.541,0.2142,0.6846,0.0,0.0,0.0,127.14,75.5188,429.215,353.6962,198.5,0.8
cifar-10,alie,0.1,777,48,24,6.0,1,0,23,12,12,12.0,24.0,0.571,0.7796,0.2057,0.6846,0.0,0.0,0.0,99.1455,51.3111,304.39,253.0789,167.09,0.8
cifar-10,alie,0.1,777,49,24,8.0,1,1,22,12,12,12.0,24.0,0.441,0.8256,0.212,0.6846,0.0,1.0,1.0,103.4444,59.3751,340.9447,281.5696,178.12,0.8
cifar-10,alie,0.1,777,50,24,7.0,0,0,24,9,9,15.0,24.0,0.4215,0.5599,0.1937,0.6846,0.0,0.0,0.0,145.1628,75.0362,445.3076,370.2714,248.54,0.8
cifar-10,alie,0.25,123,11,24,6.0,1,1,22,3,3,21.0,24.0,0.4565,0.2515,0.1476,0.2008,1.0,0.0,1.0,132.67,31.7614,259.7155,227.9542,128.93,0.8
cifar-10,alie,0.25,123,12,24,8.0,1,1,22,4,4,20.0,24.0,0.4405,0.1464,0.1241,0.2008,0.0,1.0,1.0,133.4635,27.4857,243.4063,215.9206,105.08,0.8
cifar-10,alie,0.25,123,13,24,9.0,0,1,23,2,2,22.0,24.0,0.4925,0.28,0.1167,0.2008,1.0,0.0,1.0,131.0164,32.6334,261.5498,228.9164,134.38,0.8
cifar-10,alie,0.25,123,14,24,7.0,2,1,21,4,4,20.0,24.0,0.4485,0.2369,0.1079,0.2008,1.0,0.0,1.0,125.2816,25.336,226.6257,201.2897,126.28,0.8
cifar-10,alie,0.25,123,15,24,9.0,1,1,22,3,3,21.0,24.0,0.511,0.2243,0.1199,0.2008,1.0,0.0,1.0,131.8201,28.2803,244.9414,216.661,122.96,0.8
cifar-10,alie,0.25,123,16,24,6.0,1,2,21,3,3,21.0,24.0,0.476,0.1909,0.1294,0.2008,1.0,1.0,2.0,126.6141,26.7457,233.5967,206.851,113.23,0.8
cifar-10,alie,0.25,123,17,24,8.0,1,1,22,3,3,21.0,24.0,0.4965,0.1451,0.1151,0.2008,1.0,0.0,1.0,125.7105,24.3282,223.0232,198.6951,113.62,0.8
cifar-10,alie,0.25,123,18,24,4.0,0,1,23,3,3,21.0,24.0,0.543,0.1522,0.1226,0.2008,0.0,1.0,1.0,131.0718,29.949,250.8678,220.9188,103.16,0.8
cifar-10,alie,0.25,123,19,24,7.0,1,0,23,3,3,21.0,24.0,0.52,0.191,0.115,0.2008,0.0,0.0,0.0,129.2738,33.9002,264.8745,230.9743,129.79,0.8
cifar-10,alie,0.25,123,20,24,8.0,1,0,23,2,2,22.0,24.0,0.5805,0.2113,0.1099,0.2008,0.0,0.0,0.0,124.9842,24.4852,222.9249,198.4397,129.04,0.8
cifar-10,alie,0.25,123,21,24,7.0,1,1,22,3,3,21.0,24.0,0.5385,0.2235,0.1254,0.2008,1.0,0.0,1.0,130.2132,34.2744,267.3107,233.0364,127.24,0.8
cifar-10,alie,0.25,123,22,24,6.0,1,1,22,2,2,22.0,24.0,0.601,0.148,0.1238,0.2008,1.0,0.0,1.0,137.8153,27.8047,249.0341,221.2294,118.46,0.8
cifar-10,alie,0.25,123,23,24,9.0,1,1,22,4,4,20.0,24.0,0.5655,0.1562,0.124,0.2008,1.0,0.0,1.0,136.898,31.1351,261.4386,230.3035,123.69,0.8
cifar-10,alie,0.25,123,24,24,6.0,0,1,23,3,3,21.0,24.0,0.5645,0.1816,0.1271,0.2008,1.0,0.0,1.0,128.6925,24.1659,225.3559,201.1901,124.25,0.8
cifar-10,alie,0.25,123,25,24,7.0,1,1,22,3,3,21.0,24.0,0.629,0.196,0.1205,0.2008,1.0,0.0,1.0,130.564,31.2429,255.5357,224.2928,132.51,0.8
cifar-10,alie,0.25,123,26,24,6.0,1,0,23,2,2,22.0,24.0,0.608,0.2208,0.1108,0.2008,0.0,0.0,0.0,137.4487,33.4535,271.2626,237.8092,133.22,0.8
cifar-10,alie,0.25,123,27,24,6.0,0,0,24,3,3,21.0,24.0,0.612,0.2037,0.118,0.2008,0.0,0.0,0.0,130.0552,32.5496,260.2534,227.7039,136.1,0.8
cifar-10,alie,0.25,123,28,24,6.0,2,0,22,3,3,21.0,24.0,0.6105,0.1251,0.113,0.2008,0.0,0.0,0.0,139.6238,22.6981,230.4162,207.7181,125.85,0.8
