config,attack,alpha,n_seeds,DR_mean,DR_std,DR_sem,DR_min,DR_max,DR_n,FPR_mean,FPR_std,FPR_sem,FPR_min,FPR_max,FPR_n,acc_mean,acc_std,acc_sem,acc_min,acc_max,acc_n,ASR_mean,ASR_std,ASR_sem,ASR_min,ASR_max,ASR_n,gas_flagged_count_mean,gas_flagged_count_std,gas_flagged_count_sem,gas_flagged_count_min,gas_flagged_count_max,gas_flagged_count_n,gas_only_caught_mean,gas_only_caught_std,gas_only_caught_sem,gas_only_caught_min,gas_only_caught_max,gas_only_caught_n,gas_false_flag_mean,gas_false_flag_std,gas_false_flag_sem,gas_false_flag_min,gas_false_flag_max,gas_false_flag_n
G_OFF,alie,0.1,6,0.30071924603174605,0.14845377672113005,0.009582650082042184,0.0,0.7142857142857143,240,0.3698089458736711,0.09469565654926061,0.006112578346224394,0.1,0.625,240,0.43891458333333333,0.08840318674461857,0.0057064011668928665,0.215,0.6015,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,alie,0.25,6,0.16093584656084656,0.11384121503735,0.007348418832527898,0.0,0.6,240,0.09693458779710715,0.04899554674666637,0.003162648943136097,0.0,0.21428571428571427,240,0.6090333333333333,0.07854141655435948,0.00506982663837623,0.401,0.731,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,alie,0.5,6,0.1726366341991342,0.1097172503480499,0.007082218056494453,0.0,0.5,240,0.052748826251148226,0.05833158614355287,0.0037652876948640595,0.0,0.2222222222222222,240,0.6423562500000001,0.06940433320081829,0.004480030444023329,0.4145,0.7445,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,alie,1.0,6,0.0005952380952380952,0.009221388919541468,0.0005952380952380952,0.0,0.14285714285714285,240,0.011609080401166314,0.023704998005562094,0.0015301510416237004,0.0,0.07142857142857142,240,0.6504375,0.06789548830839928,0.004382634925017513,0.474,0.743,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,gaussian_noise,0.1,6,1.0,0.0,0.0,1.0,1.0,240,0.3307442941189071,0.09041326782796502,0.005836151342898322,0.10526315789473684,0.5384615384615384,240,0.48175833333333334,0.11804925011738764,0.007620046328948605,0.1775,0.6765,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,gaussian_noise,0.25,6,1.0,0.0,0.0,1.0,1.0,240,0.09025937140488224,0.05010232849540957,0.003234091397815576,0.0,0.2,240,0.6332791666666666,0.08998741882852183,0.0058086629081842795,0.3325,0.754,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,gaussian_noise,0.5,6,1.0,0.0,0.0,1.0,1.0,240,0.020095164893442756,0.02885497871297247,0.001862580866841865,0.0,0.11764705882352941,240,0.6640395833333332,0.07918709305776184,0.005111504877454809,0.4455,0.782,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,gaussian_noise,1.0,6,1.0,0.0,0.0,1.0,1.0,240,0.0,0.0,0.0,0.0,0.0,240,0.6942458333333333,0.08082880032294025,0.005217476625744537,0.456,0.8075,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,label_flip,0.1,6,0.35889895983645986,0.15755928179925546,0.010170407907481962,0.0,1.0,240,0.30408692770293005,0.09837751960633839,0.006350241584609037,0.058823529411764705,0.5714285714285714,240,0.484375,0.09727022597858342,0.006278766088281427,0.238,0.649,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
G_OFF,label_flip,0.25,6,0.22445767195767194,0.1434522109742533,0.009259800401331932,0.0,0.75,240,0.0906149821039527,0.05216995144845856,0.003367555885538825,0.0,0.21428571428571427,240,0.6215625,0.08189257333205256,0.005286142878218486,0.3515,0.75,240,,,,,,0,,,,,,0,,,,,,0,,,,,,0
